SMILES,SF
C(C)(C)c1c(c(C(C)C)ccc1)N1[PH](N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)=S,1.331125749
[PH]1(N(c2c(cccc2C(C)C)C(C)C)[PH](=S)N1c1c(C(C)C)cccc1C(C)C)=S,1.331125749
C(c1c(c(C(C)C)ccc1)N1[PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)(C)C,1.331125749
N1([PH](N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)=S)c1c(cccc1C(C)C)C(C)C,1.331125749
C(C)(c1cccc(C(C)C)c1N1[PH](N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)=S)C,1.331125749
c1(C(C)C)c(c(C(C)C)ccc1)N1[PH](=S)N([PH]1=S)c1c(cccc1C(C)C)C(C)C,1.331125749
c1cc(C(C)C)c(N2[PH](=S)N(c3c(cccc3C(C)C)C(C)C)[PH]2=S)c(c1)C(C)C,1.331125749
N1([PH](=S)N(c2c(cccc2C(C)C)C(C)C)[PH]1=S)c1c(cccc1C(C)C)C(C)C,1.331125749
c1ccc(c(c1C(C)C)N1[PH](=S)N([PH]1=S)c1c(C(C)C)cccc1C(C)C)C(C)C,1.331125749
CC(c1cccc(C(C)C)c1N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S)C,1.331125749
c1ccc(C(C)C)c(c1C(C)C)N1[PH](N([PH]1=S)c1c(cccc1C(C)C)C(C)C)=S,1.331125749
c1(c(N2[PH](N([PH]2=S)c2c(C(C)C)cccc2C(C)C)=S)c(ccc1)C(C)C)C(C)C,1.331125749
S=[PH]1N(c2c(C(C)C)cccc2C(C)C)[PH](=S)N1c1c(cccc1C(C)C)C(C)C,1.331125749
C(C)(c1cccc(C(C)C)c1N1[PH](=S)N([PH]1=S)c1c(C(C)C)cccc1C(C)C)C,1.331125749
CC(c1cccc(c1N1[PH](=S)N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)C(C)C)C,1.331125749
N1([PH](=S)N(c2c(C(C)C)cccc2C(C)C)[PH]1=S)c1c(cccc1C(C)C)C(C)C,1.331125749
