SMILES,SF
[O-][N+]1C(C)(C)C(C)([N+]([O-])=CC=1C1=NC(C)(C)C(N1O)(C)C)C,1.001801579
CC1(C)C(C)(N(C(=N1)C1C=[N+]([O-])C(C)(C([N+]=1[O-])(C)C)C)O)C,1.001801579
N1(O)C(C)(C(N=C1C1=[N+]([O-])C(C(C)(C)[N+](=C1)[O-])(C)C)(C)C)C,1.001801579
CC1(C)N(O)C(=NC1(C)C)C1=[N+](C(C([N+](=C1)[O-])(C)C)(C)C)[O-],1.001801579
CC1(C)[N+](=C(C2=NC(C)(C)C(N2O)(C)C)C=[N+]([O-])C1(C)C)[O-],1.001801579
[O-][N+](=O)c1cc2=NOC3([N+]([O-])=c2cc1)CCCCC3,1.136604271
O=[N+](c1cc2=NOC3(CCCCC3)[N+](=c2cc1)[O-])[O-],1.136604271
c12ccc([N+](=O)[O-])cc2=NOC2([N+]=1[O-])CCCCC2,1.136604271
[O-][N+]1=c2ccc([N+]([O-])=O)cc2=NOC21CCCCC2,1.136604271
c1c2=NOC3(CCCCC3)[N+]([O-])=c2ccc1[N+](=O)[O-],1.136604271
[N+](=O)([O-])c1cc2=NOC3(CCCCC3)[N+]([O-])=c2cc1,1.136604271
C1CC2(CCC1)[N+]([O-])=c1c(=NO2)cc(cc1)[N+](=O)[O-],1.136604271
[O-][N+](c1ccc2=[N+](C3(CCCCC3)ON=c2c1)[O-])=O,1.136604271
C1CCCCC21[N+]([O-])=c1c(cc(cc1)[N+](=O)[O-])=NO2,1.136604271
[O-][N+](c1ccc2c(c1)=NOC1(CCCCC1)[N+]=2[O-])=O,1.136604271
C1C2(CCCC1)ON=c1c(=[N+]2[O-])ccc(c1)[N+]([O-])=O,1.136604271
[N+]1([O-])C2(ON=c3c=1ccc(c3)[N+](=O)[O-])CCCCC2,1.136604271
C1CCC2(CC1)[N+]([O-])=c1c(=NO2)cc([N+](=O)[O-])cc1,1.136604271
c12cc([N+]([O-])=O)ccc2=[N+]([O-])C2(ON=1)CCCCC2,1.136604271
[N+]1([O-])C2(CCCCC2)ON=c2c=1ccc(c2)[N+]([O-])=O,1.136604271
N1=c2c(ccc([N+](=O)[O-])c2)=[N+]([O-])C2(CCCCC2)O1,1.136604271
O=[N+](c1ccc2c(c1)=NOC1(CCCCC1)[N+]=2[O-])[O-],1.136604271
c1([N+]([O-])=O)ccc2c(=NOC3(CCCCC3)[N+]=2[O-])c1,1.136604271
[O-][N+]1=c2ccc(cc2=NOC21CCCCC2)[N+]([O-])=O,1.136604271
C12(CCCCC2)ON=c2cc([N+]([O-])=O)ccc2=[N+]1[O-],1.136604271
c1(Cl)c([N+](=O)[O-])c(cc2=[N+](C(C)(C)ON=c12)[O-])Cl,1.212496449
c1c2=[N+]([O-])C(C)(ON=c2c(Cl)c(c1Cl)[N+](=O)[O-])C,1.212496449
c12=[N+]([O-])C(C)(ON=c1c(Cl)c(c(c2)Cl)[N+](=O)[O-])C,1.212496449
C1(C)(C)[N+]([O-])=c2cc(c([N+](=O)[O-])c(Cl)c2=NO1)Cl,1.212496449
c1c2c(c(c([N+](=O)[O-])c1Cl)Cl)=NOC([N+]=2[O-])(C)C,1.212496449
c1(c(Cl)cc2c(=NOC([N+]=2[O-])(C)C)c1Cl)[N+]([O-])=O,1.212496449
O=[N+](c1c(Cl)c2c(cc1Cl)=[N+](C(C)(ON=2)C)[O-])[O-],1.212496449
C1(C)([N+]([O-])=c2c(c(c([N+]([O-])=O)c(Cl)c2)Cl)=NO1)C,1.212496449
[N+](=O)(c1c(Cl)c2=NOC([N+]([O-])=c2cc1Cl)(C)C)[O-],1.212496449
[O-][N+](=O)c1c(c2c(=[N+](C(ON=2)(C)C)[O-])cc1Cl)Cl,1.212496449
Clc1c([N+](=O)[O-])c(Cl)cc2=[N+]([O-])C(C)(ON=c21)C,1.212496449
O=[N+](c1c(c2c(=[N+](C(ON=2)(C)C)[O-])cc1Cl)Cl)[O-],1.212496449
N1=c2c(=[N+](C(C)(C)O1)[O-])cc(c([N+]([O-])=O)c2Cl)Cl,1.212496449
O1N=c2c(cc(Cl)c([N+]([O-])=O)c2Cl)=[N+]([O-])C1(C)C,1.212496449
CC1([N+](=c2cc(Cl)c([N+]([O-])=O)c(Cl)c2=NO1)[O-])C,1.212496449
C1(C)(ON=c2c(Cl)c(c(Cl)cc2=[N+]1[O-])[N+](=O)[O-])C,1.212496449
C1(C)(ON=c2c(c([N+](=O)[O-])c(cc2=[N+]1[O-])Cl)Cl)C,1.212496449
c12cc(Cl)c(c(Cl)c2=NOC([N+]=1[O-])(C)C)[N+](=O)[O-],1.212496449
c1(c(c2=NOC(C)([N+](=c2cc1Cl)[O-])C)Cl)[N+](=O)[O-],1.212496449
O1N=c2c(=[N+](C1(C)C)[O-])cc(Cl)c(c2Cl)[N+]([O-])=O,1.212496449
c1[n+](cc[n+]([C-](C#N)C#N)c1)[C-](C#N)C#N,0.990707212
c1[n+](cc[n+]([C-](C#N)C#N)c1)[C-](C#N)C#N,0.990707212
c1[n+]([C-](C#N)C#N)cc[n+](c1)[C-](C#N)C#N,0.990707212
C([C-]([n+]1cc[n+](cc1)[C-](C#N)C#N)C#N)#N,0.990707212
c1c[n+](cc[n+]1[C-](C#N)C#N)[C-](C#N)C#N,0.990707212
C(#N)[C-]([n+]1cc[n+]([C-](C#N)C#N)cc1)C#N,0.990707212
N#C[C-]([n+]1cc[n+]([C-](C#N)C#N)cc1)C#N,0.990707212
N#C[C-](C#N)[n+]1cc[n+]([C-](C#N)C#N)cc1,0.990707212
C(#N)[C-]([n+]1cc[n+]([C-](C#N)C#N)cc1)C#N,0.990707212
[C-](C#N)([n+]1cc[n+](cc1)[C-](C#N)C#N)C#N,0.990707212
c1[n+]([C-](C#N)C#N)cc[n+](c1)[C-](C#N)C#N,0.990707212
N#C[C-]([n+]1cc[n+]([C-](C#N)C#N)cc1)C#N,0.990707212
c1[n+](cc[n+]([C-](C#N)C#N)c1)[C-](C#N)C#N,0.990707212
N#C[C-](C#N)[n+]1cc[n+](cc1)[C-](C#N)C#N,0.990707212
c1[n+]([C-](C#N)C#N)cc[n+](c1)[C-](C#N)C#N,0.990707212
[C-]([n+]1cc[n+]([C-](C#N)C#N)cc1)(C#N)C#N,0.990707212
C(#N)[C-](C#N)[n+]1cc[n+](cc1)[C-](C#N)C#N,0.990707212
N#C[C-](C#N)[n+]1cc[n+]([C-](C#N)C#N)cc1,0.990707212
N#C[C-]([n+]1cc[n+](cc1)[C-](C#N)C#N)C#N,0.990707212
N#C[C-](C#N)[n+]1cc[n+]([C-](C#N)C#N)cc1,0.990707212
C(C(=[N+]([C-](C#N)C#N)c1c(C#N)c(c(-c2[n+](-c3c(C(C)C)cccc3C(C)C)ccn2-c2c(C(C)C)cccc2C(C)C)[n-]1)C#N)C#N)#N,0.692802615
c1(c(C(C)C)cccc1C(C)C)-[n+]1c(n(cc1)-c1c(cccc1C(C)C)C(C)C)-c1[n-]c([N+](=C(C#N)C#N)[C-](C#N)C#N)c(C#N)c1C#N,0.692802615
CC(C)c1c(-n2cc[n+](-c3c(C(C)C)cccc3C(C)C)c2-c2[n-]c(c(c2C#N)C#N)[N+]([C-](C#N)C#N)=C(C#N)C#N)c(ccc1)C(C)C,0.692802615
C(#N)[C-](C#N)[N+](c1c(C#N)c(c(-c2n(-c3c(C(C)C)cccc3C(C)C)cc[n+]2-c2c(C(C)C)cccc2C(C)C)[n-]1)C#N)=C(C#N)C#N,0.692802615
C(C)(C)c1cccc(C(C)C)c1-n1c(-c2[n-]c(c(c2C#N)C#N)[N+]([C-](C#N)C#N)=C(C#N)C#N)[n+](cc1)-c1c(C(C)C)cccc1C(C)C,0.692802615
C(c1c(c([n-]c1[N+](=C(C#N)C#N)[C-](C#N)C#N)-c1[n+](ccn1-c1c(C(C)C)cccc1C(C)C)-c1c(cccc1C(C)C)C(C)C)C#N)#N,0.692802615
C(C)(C)c1cccc(C(C)C)c1-[n+]1c(n(-c2c(C(C)C)cccc2C(C)C)cc1)-c1c(c(c([N+](=C(C#N)C#N)[C-](C#N)C#N)[n-]1)C#N)C#N,0.692802615
N#Cc1c(c([n-]c1[N+]([C-](C#N)C#N)=C(C#N)C#N)-c1[n+](ccn1-c1c(C(C)C)cccc1C(C)C)-c1c(C(C)C)cccc1C(C)C)C#N,0.692802615
C(=[N+](c1[n-]c(c(c1C#N)C#N)-c1[n+](ccn1-c1c(cccc1C(C)C)C(C)C)-c1c(cccc1C(C)C)C(C)C)[C-](C#N)C#N)(C#N)C#N,0.692802615
c1(-c2c(c(C#N)c([N+](=C(C#N)C#N)[C-](C#N)C#N)[n-]2)C#N)n(cc[n+]1-c1c(C(C)C)cccc1C(C)C)-c1c(C(C)C)cccc1C(C)C,0.692802615
